County,Month,CasesCount,TestsPer100K,ActiveCase,DeathCount,TotalVaccinations,PeopleVaccinated,PeopleFullyVaccinated,DailyVaccinations,TotalVaccinationsPerHundred,PeopleFullyVaccinatedPerHundred,vaccines
Anderson,January,55215,48508,496,86,,,,,,,
Anderson,February,133466,52924,218,106,,,,,,,
Anderson,March,148877,57308,39,112,,,,,,,
Anderson,April,142644,61842,49,119,,,,,,,
Anderson,May,148385,65879,185,125,,,,,,,
Anderson,June,143764,69349,100,132,,,,,,,
Anderson,July,147685,72846,42,133,,,,,,,
Anderson,August,146775,79966,203,138,,,,,,,
Anderson,September,147122,90278,846,170,,,,,,,
Anderson,October,156136,100260,608,197,,,,,,,
Andrews,January,19576,5265,210,40,,,,,,,
Andrews,February,46920,5877,153,46,,,,,,,
Andrews,March,53099,6424,36,48,,,,,,,
Andrews,April,53985,7023,48,48,,,,,,,
Andrews,May,56552,7524,12,48,,,,,,,
Andrews,June,55131,7786,6,48,,,,,,,
Andrews,July,57683,8221,17,48,,,,,,,
Andrews,August,61547,8896,89,49,,,,,,,
Andrews,September,72453,9739,297,52,,,,,,,
Andrews,October,85807,10554,148,55,,,,,,,
Angelina,January,50416,53841,884,208,,,,,,,
Angelina,February,125891,65244,566,255,,,,,,,
Angelina,March,145937,75136,236,271,,,,,,,
Angelina,April,144883,84467,180,278,,,,,,,
Angelina,May,152663,94379,98,282,,,,,,,
Angelina,June,148976,98934,56,287,,,,,,,
Angelina,July,155565,103310,107,288,,,,,,,
Angelina,August,168556,112050,882,304,,,,,,,
Angelina,September,186283,127841,1301,354,,,,,,,
Angelina,October,206983,139666,512,398,,,,,,,
Aransas,January,8429,10156,141,29,,,,,,,
Aransas,February,22961,12299,105,35,,,,,,,
Aransas,March,27497,14176,39,36,,,,,,,
Aransas,April,28176,15816,31,38,,,,,,,
Aransas,May,29747,16996,10,41,,,,,,,
Aransas,June,29301,17986,12,41,,,,,,,
Aransas,July,31818,19788,60,42,,,,,,,
Aransas,August,40602,22656,218,49,,,,,,,
Aransas,September,53772,25907,313,59,,,,,,,
Aransas,October,61484,28551,93,65,,,,,,,
Archer,January,7751,2840,13,9,,,,,,,
Archer,February,18675,3429,2,11,,,,,,,
Archer,March,21054,3740,1,12,,,,,,,
Archer,April,20551,3954,1,12,,,,,,,
Archer,May,21452,4133,2,12,,,,,,,
Archer,June,20880,4261,0,12,,,,,,,
Archer,July,21686,4358,2,12,,,,,,,
Archer,August,23180,4606,20,13,,,,,,,
Archer,September,26777,5234,22,15,,,,,,,
Archer,October,31822,5875,18,19,,,,,,,
Armstrong,January,1151,692,20,6,,,,,,,
Armstrong,February,2923,873,7,6,,,,,,,
Armstrong,March,3374,1012,1,6,,,,,,,
Armstrong,April,3812,1147,4,6,,,,,,,
Armstrong,May,4467,1262,0,6,,,,,,,
Armstrong,June,4502,1306,1,6,,,,,,,
Armstrong,July,4753,1441,3,7,,,,,,,
Armstrong,August,5155,1871,7,7,,,,,,,
Armstrong,September,5311,2070,7,7,,,,,,,
Armstrong,October,5807,2311,8,7,,,,,,,
Atascosa,January,39736,31412,342,107,,,,,,,
Atascosa,February,107742,46284,156,138,,,,,,,
Atascosa,March,127651,53722,46,148,,,,,,,
Atascosa,April,127211,63380,20,151,,,,,,,
Atascosa,May,134792,71618,23,151,,,,,,,
Atascosa,June,133378,75897,23,152,,,,,,,
Atascosa,July,140494,78361,60,153,,,,,,,
Atascosa,August,159719,83980,267,163,,,,,,,
Atascosa,September,183553,94309,325,190,,,,,,,
Atascosa,October,203996,104771,89,203,,,,,,,
Austin,January,15780,13680,135,21,,,,,,,
Austin,February,41273,16280,69,29,,,,,,,
Austin,March,50129,18212,52,34,,,,,,,
Austin,April,52086,20117,30,34,,,,,,,
Austin,May,55793,22587,9,37,,,,,,,
Austin,June,54909,23728,4,37,,,,,,,
Austin,July,58239,24666,25,38,,,,,,,
Austin,August,64741,26466,109,41,,,,,,,
Austin,September,73851,29426,160,48,,,,,,,
Austin,October,83871,31991,76,52,,,,,,,
Bailey,January,6727,1935,25,16,,,,,,,
Bailey,February,15995,2098,12,18,,,,,,,
Bailey,March,18341,2257,9,19,,,,,,,
Bailey,April,18011,2427,1,20,,,,,,,
Bailey,May,18836,2604,1,20,,,,,,,
Bailey,June,18522,2767,1,20,,,,,,,
Bailey,July,19414,2872,2,20,,,,,,,
Bailey,August,19785,2992,12,22,,,,,,,
Bailey,September,19980,3262,13,25,,,,,,,
Bailey,October,21275,3521,9,25,,,,,,,
Bandera,January,8689,7691,72,20,,,,,,,
Bandera,February,24626,9535,53,25,,,,,,,
Bandera,March,28816,11053,13,27,,,,,,,
Bandera,April,28819,12512,10,27,,,,,,,
Bandera,May,31102,13596,14,28,,,,,,,
