County,FIPS,Month,CasesCount,TestsPer100K,ActiveCase,DeathCount
Anderson,48001,January,55215,48508,496,86
Anderson,48001,February,133466,52924,218,106
Anderson,48001,March,148877,57308,39,112
Anderson,48001,April,142644,61842,49,119
Anderson,48001,May,148385,65879,185,125
Anderson,48001,June,143764,69349,100,132
Anderson,48001,July,147685,72846,42,133
Anderson,48001,August,146775,79966,203,138
Anderson,48001,September,147122,90278,846,170
Anderson,48001,October,156136,100260,608,197
Andrews,48003,January,19576,5265,210,40
Andrews,48003,February,46920,5877,153,46
Andrews,48003,March,53099,6424,36,48
Andrews,48003,April,53985,7023,48,48
Andrews,48003,May,56552,7524,12,48
Andrews,48003,June,55131,7786,6,48
Andrews,48003,July,57683,8221,17,48
Andrews,48003,August,61547,8896,89,49
Andrews,48003,September,72453,9739,297,52
Andrews,48003,October,85807,10554,148,55
Angelina,48005,January,50416,53841,884,208
Angelina,48005,February,125891,65244,566,255
Angelina,48005,March,145937,75136,236,271
Angelina,48005,April,144883,84467,180,278
Angelina,48005,May,152663,94379,98,282
Angelina,48005,June,148976,98934,56,287
Angelina,48005,July,155565,103310,107,288
Angelina,48005,August,168556,112050,882,304
Angelina,48005,September,186283,127841,1301,354
Angelina,48005,October,206983,139666,512,398
Aransas,48007,January,8429,10156,141,29
Aransas,48007,February,22961,12299,105,35
Aransas,48007,March,27497,14176,39,36
Aransas,48007,April,28176,15816,31,38
Aransas,48007,May,29747,16996,10,41
Aransas,48007,June,29301,17986,12,41
Aransas,48007,July,31818,19788,60,42
Aransas,48007,August,40602,22656,218,49
Aransas,48007,September,53772,25907,313,59
Aransas,48007,October,61484,28551,93,65
Archer,48009,January,7751,2840,13,9
Archer,48009,February,18675,3429,2,11
Archer,48009,March,21054,3740,1,12
Archer,48009,April,20551,3954,1,12
Archer,48009,May,21452,4133,2,12
Archer,48009,June,20880,4261,0,12
Archer,48009,July,21686,4358,2,12
Archer,48009,August,23180,4606,20,13
Archer,48009,September,26777,5234,22,15
Archer,48009,October,31822,5875,18,19
Armstrong,48011,January,1151,692,20,6
Armstrong,48011,February,2923,873,7,6
Armstrong,48011,March,3374,1012,1,6
Armstrong,48011,April,3812,1147,4,6
Armstrong,48011,May,4467,1262,0,6
Armstrong,48011,June,4502,1306,1,6
Armstrong,48011,July,4753,1441,3,7
Armstrong,48011,August,5155,1871,7,7
Armstrong,48011,September,5311,2070,7,7
Armstrong,48011,October,5807,2311,8,7
Atascosa,48013,January,39736,31412,342,107
Atascosa,48013,February,107742,46284,156,138
Atascosa,48013,March,127651,53722,46,148
Atascosa,48013,April,127211,63380,20,151
Atascosa,48013,May,134792,71618,23,151
Atascosa,48013,June,133378,75897,23,152
Atascosa,48013,July,140494,78361,60,153
Atascosa,48013,August,159719,83980,267,163
Atascosa,48013,September,183553,94309,325,190
Atascosa,48013,October,203996,104771,89,203
Austin,48015,January,15780,13680,135,21
Austin,48015,February,41273,16280,69,29
Austin,48015,March,50129,18212,52,34
Austin,48015,April,52086,20117,30,34
Austin,48015,May,55793,22587,9,37
Austin,48015,June,54909,23728,4,37
Austin,48015,July,58239,24666,25,38
Austin,48015,August,64741,26466,109,41
Austin,48015,September,73851,29426,160,48
Austin,48015,October,83871,31991,76,52
Bailey,48017,January,6727,1935,25,16
Bailey,48017,February,15995,2098,12,18
Bailey,48017,March,18341,2257,9,19
Bailey,48017,April,18011,2427,1,20
Bailey,48017,May,18836,2604,1,20
Bailey,48017,June,18522,2767,1,20
Bailey,48017,July,19414,2872,2,20
Bailey,48017,August,19785,2992,12,22
Bailey,48017,September,19980,3262,13,25
Bailey,48017,October,21275,3521,9,25
Bandera,48019,January,8689,7691,72,20
Bandera,48019,February,24626,9535,53,25
Bandera,48019,March,28816,11053,13,27
Bandera,48019,April,28819,12512,10,27
Bandera,48019,May,31102,13596,14,28
Bandera,48019,June,31195,14382,8,28
Bandera,48019,July,33104,15154,20,31
Bandera,48019,August,38313,16495,90,36
Bandera,48019,September,44550,18515,102,45
Bandera,48019,October,50315,20349,58,53
Bastrop,48021,January,42678,45593,611,62
Bastrop,48021,February,178231,56481,1356,82
Bastrop,48021,March,206470,63366,283,91
Bastrop,48021,April,207286,70328,252,93
Bastrop,48021,May,222041,76928,208,97
Bastrop,48021,June,218371,81880,89,101
Bastrop,48021,July,231780,86103,210,107
Bastrop,48021,August,262697,96169,873,120
Bastrop,48021,September,295260,111869,1032,149
Bastrop,48021,October,325254,123107,412,171
Baylor,48023,January,1328,1635,5,10
Baylor,48023,February,3324,1907,1,12
Baylor,48023,March,3794,2148,0,13
Baylor,48023,April,3750,2258,0,13
Baylor,48023,May,3906,2341,0,13
Baylor,48023,June,3815,2380,0,13
Baylor,48023,July,4029,2436,1,13
Baylor,48023,August,4266,2867,2,13
Baylor,48023,September,5216,4701,11,16
Baylor,48023,October,5939,5446,10,21
Bee,48025,January,33390,32698,316,56
Bee,48025,February,83389,37851,161,65
Bee,48025,March,95047,41561,27,70
Bee,48025,April,92998,45113,16,73
Bee,48025,May,96495,48304,12,74
Bee,48025,June,93995,51455,11,75
Bee,48025,July,98611,54376,41,77
Bee,48025,August,112298,61639,359,84
Bee,48025,September,128628,69243,427,110
Bee,48025,October,139412,74976,89,126
Bell,48027,January,213383,198044,2151,262
Bell,48027,February,558233,230516,1072,365
Bell,48027,March,653899,251936,368,402
Bell,48027,April,658003,275613,300,419
Bell,48027,May,698461,297993,199,433
Bell,48027,June,677396,314188,177,449
Bell,48027,July,718756,332103,686,462
Bell,48027,August,814925,361975,2409,532
Bell,48027,September,914600,406758,2958,646
Bell,48027,October,1026722,448061,1506,705
Bexar,48029,January,1613610,1241819,31218,2418
