CountyName ,Race/Ethnicity,PeopleVaccinated,PeopleFullyVaccinated,TotalVaccinations
Anderson,Asian,230,212,438
Anderson,Black,4983,4491,9330
Anderson,Hispanic,2257,1940,4061
Anderson,Other,4153,3714,7885
Anderson,Unknown,979,763,1674
Anderson,White,12285,10913,22371
Andrews,Asian,53,47,105
Andrews,Black,69,63,142
Andrews,Hispanic,3517,3130,6871
Andrews,Other,293,254,565
Andrews,Unknown,1217,1117,2364
Andrews,White,3209,2820,6277
Angelina,Asian,375,336,760
Angelina,Black,4467,3944,8634
Angelina,Hispanic,7766,6924,14611
Angelina,Other,6616,5693,12873
Angelina,Unknown,3747,3285,7002
Angelina,White,17391,15787,33846
Aransas,Asian,276,245,519
Aransas,Black,109,91,207
Aransas,Hispanic,2673,2306,5044
Aransas,Other,2479,2244,5199
Aransas,Unknown,767,658,1455
Aransas,White,8576,7529,16659
Archer,Asian,6,6,12
Archer,Black,23,21,39
Archer,Hispanic,252,233,465
Archer,Other,751,703,1533
Archer,Unknown,500,435,959
Archer,White,2623,2431,5112
Armstrong,Asian,4,4,8
Armstrong,Black,5,4,7
Armstrong,Hispanic,51,43,93
Armstrong,Other,102,91,199
Armstrong,Unknown,108,97,204
Armstrong,White,485,407,908
Atascosa,Asian,115,101,223
Atascosa,Black,141,119,256
Atascosa,Hispanic,11971,10487,22507
Atascosa,Other,4310,3742,8362
Atascosa,Unknown,1335,1086,2425
Atascosa,White,8119,7159,15388
Austin,Asian,113,95,198
Austin,Black,956,834,1660
Austin,Hispanic,3377,2855,6010
Austin,Other,2266,2028,4613
Austin,Unknown,1026,822,1612
Austin,White,7613,6855,14133
Bailey,Asian,12,11,21
Bailey,Black,10,10,20
Bailey,Hispanic,1160,906,1974
Bailey,Other,134,115,244
Bailey,Unknown,1001,944,1996
Bailey,White,578,481,1068
Bandera,Asian,52,47,97
Bandera,Black,79,70,151
Bandera,Hispanic,1372,1211,2603
Bandera,Other,1831,1648,3661
Bandera,Unknown,1241,1052,2178
Bandera,White,6111,5447,11570
Bastrop,Asian,383,332,714
Bastrop,Black,1718,1418,3114
Bastrop,Hispanic,16552,13415,29815
Bastrop,Other,15377,13423,30082
Bastrop,Unknown,4294,3063,7343
Bastrop,White,15477,13320,28788
Baylor,Asian,9,8,18
Baylor,Black,23,20,48
Baylor,Hispanic,92,72,155
Baylor,Other,70,64,139
Baylor,Unknown,426,402,837
Baylor,White,886,805,1693
Bee,Asian,115,99,232
Bee,Black,937,778,1749
Bee,Hispanic,5886,5038,11640
Bee,Other,3135,2546,5994
Bee,Unknown,2299,1975,4365
Bee,White,4764,4212,9304
Bell,Asian,5003,4387,9579
Bell,Black,24439,20410,44993
Bell,Hispanic,27731,23710,51644
Bell,Other,25854,22490,50520
Bell,Unknown,10673,8361,18965
Bell,White,64055,57040,124911
Bexar,Asian,31776,28342,61969
Bexar,Black,52553,44788,99512
Bexar,Hispanic,578161,499648,1102441
Bexar,Other,243388,212751,480206
Bexar,Unknown,69070,53505,122679
Bexar,White,347557,306395,671603
Blanco,Asian,20,16,37
Blanco,Black,32,28,59
Blanco,Hispanic,895,784,1646
Blanco,Other,897,803,1865
Blanco,Unknown,255,216,456
Blanco,White,4325,3898,8501
Borden,Asian,1,1,1
Borden,Black,1,0,1
Borden,Hispanic,33,29,57
Borden,Other,34,33,66
Borden,Unknown,16,15,31
Borden,White,137,122,239
Bosque,Asian,29,27,58
Bosque,Black,102,90,193
Bosque,Hispanic,993,858,1838
Bosque,Other,966,883,1955
Bosque,Unknown,1034,809,1848
Bosque,White,5644,5135,10862
Bowie,Asian,572,515,1118
Bowie,Black,6817,5782,12561
Bowie,Hispanic,2662,2238,4818
Bowie,Other,3705,3281,7311
Bowie,Unknown,1810,1217,2869
Bowie,White,19296,16701,36088
Brazoria,Asian,15240,14202,29948
Brazoria,Black,27674,24806,53448
Brazoria,Hispanic,51282,45581,96831
Brazoria,Other,45271,41843,92579
Brazoria,Unknown,8392,6890,15280
Brazoria,White,69500,63034,132431
Brazos,Asian,8371,7387,15845
Brazos,Black,8952,7711,16389
Brazos,Hispanic,23052,19933,42663
Brazos,Other,17167,15392,34005
Brazos,Unknown,5733,4138,9485
Brazos,White,59486,53132,112933
Brewster,Asian,47,45,92
Brewster,Black,31,21,48
Brewster,Hispanic,2054,1720,3802
Brewster,Other,462,370,919
Brewster,Unknown,520,424,911
Brewster,White,2357,2100,4567
Briscoe,Black,13,13,26
Briscoe,Hispanic,129,118,245
Briscoe,Other,73,62,152
Briscoe,Unknown,18,14,34
Briscoe,White,411,371,842
Brooks,Asian,10,10,20
Brooks,Black,6,5,11
Brooks,Hispanic,2942,2610,5570
Brooks,Other,283,234,551
Brooks,Unknown,142,112,256
Brooks,White,1282,1120,2485
Brown,Asian,119,112,210
Brown,Black,404,362,691
Brown,Hispanic,2610,2286,4573
Brown,Other,2814,2525,5063
Brown,Unknown,2021,1855,3243
Brown,White,7699,7012,13476
Burleson,Asian,52,48,95
Burleson,Black,909,831,1690
Burleson,Hispanic,1209,1085,2235
Burleson,Other,870,798,1741
Burleson,Unknown,679,512,1099
Burleson,White,5274,4831,10073
Burnet,Asian,253,223,469
Burnet,Black,322,262,560
Burnet,Hispanic,3231,2778,5821
Burnet,Other,4656,4180,9511
Burnet,Unknown,1341,1122,2270
Burnet,White,15939,14257,30364
