Category,Category_Description,At_Least_One_Dose,Fully_Vaccinated
5Cat Age Groups,16+,928327,647489
5Cat Age Groups,18+,913489,641399
5Cat Age Groups,18-49,386006,254338
5Cat Age Groups,50-64,213275,160085
5Cat Age Groups,65+,188647,152643
Gender,Female,452554,325668
Gender,Male,385700,245673
Gender,Other,130,104
Gender,Unknown,2220,1756
Race/Ethnicity,Hispanic,359102,244211
Race/Ethnicity,NH White,258664,183951
Race/Ethnicity,NH Asian,23299,15997
Race/Ethnicity,NH Black,34713,20030
Race/Ethnicity,NH Other,79926,53914
Race/Ethnicity,Unknown,84900,55098
5Cat Age Groups,16+,955976,719767
5Cat Age Groups,18+,940059,710933
5Cat Age Groups,18-49,407315,294144
5Cat Age Groups,50-64,228782,174893
5Cat Age Groups,65+,212210,159720
Gender,Female,463869,358884
Gender,Male,398246,276825
Gender,Other,131,104
Gender,Unknown,2265,1829
Race/Ethnicity,Hispanic,371371,276910
Race/Ethnicity,NH White,265789,202337
Race/Ethnicity,NH Asian,23921,18277
Race/Ethnicity,NH Black,36236,22663
Race/Ethnicity,NH Other,83471,60530
Race/Ethnicity,Unknown,83723,56925
5Cat Age Groups,12+,995047,741238
5Cat Age Groups,16+,989139,741203
5Cat Age Groups,18+,971794,729889
5Cat Age Groups,18-49,426150,325282
5Cat Age Groups,50-64,234963,185248
5Cat Age Groups,65+,215151,164207
Gender,Female,480806,383211
Gender,Male,416432,300846
Gender,Other,200,158
Gender,Unknown,2286,1896
Race/Ethnicity,Hispanic,388220,299974
Race/Ethnicity,NH White,274633,216151
Race/Ethnicity,NH Asian,24804,19771
Race/Ethnicity,NH Black,37969,24790
Race/Ethnicity,NH Other,89012,67182
Race/Ethnicity,Unknown,85086,58243
5Cat Age Groups,12+,1035560,804761
5Cat Age Groups,16+,1019127,804722
5Cat Age Groups,18+,1000035,792061
5Cat Age Groups,18-49,436355,345215
Race/Ethnicity,NH White,296019,239271
Race/Ethnicity,NH Asian,26945,22019
Race/Ethnicity,NH Black,42318,28628
Race/Ethnicity,NH Other,106176,80976
Race/Ethnicity,Unknown,89409,60733
MultiCat Age Groups,15-Dec,25883,5660
MultiCat Age Groups,16-18,34331,24137
MultiCat Age Groups,19-29,145286,113613
MultiCat Age Groups,30-39,150359,122390
MultiCat Age Groups,40-49,155864,128461
MultiCat Age Groups,50-59,160758,136184
MultiCat Age Groups,60-64,76278,65905
MultiCat Age Groups,65-75,131122,115091
MultiCat Age Groups,76-85,51942,44489
MultiCat Age Groups,86-95,15109,12143
MultiCat Age Groups,96+,1166,805
5Cat Age Groups,12+,1115030,887290
5Cat Age Groups,16+,1085807,873798
5Cat Age Groups,18+,1062983,857498
5Cat Age Groups,18-49,474337,386675
5Cat Age Groups,50-64,251374,205979
5Cat Age Groups,65+,223060,174255
Gender,Female,534835,438220
Gender,Male,470835,356317
Gender,Other,211,181
Gender,Unknown,2656,1997
Race/Ethnicity,Hispanic,437807,350952
Race/Ethnicity,NH White,300581,245888
Race/Ethnicity,NH Asian,27378,22745
Race/Ethnicity,NH Black,43239,29927
Race/Ethnicity,NH Other,110133,86191
Race/Ethnicity,Unknown,89399,61012
MultiCat Age Groups,15-Dec,29223,13492
MultiCat Age Groups,16-18,35928,26262
MultiCat Age Groups,19-29,148971,118137
MultiCat Age Groups,30-39,153562,126420
MultiCat Age Groups,40-49,158700,132156
MultiCat Age Groups,50-59,162897,139121
MultiCat Age Groups,60-64,76974,66858
MultiCat Age Groups,65-75,132039,116262
MultiCat Age Groups,76-85,52329,44909
MultiCat Age Groups,86-95,15264,12265
MultiCat Age Groups,96+,1188,819
5Cat Age Groups,12+,1207058,959040
